Numer of labeled samples:10645   AUC:0.962
Numer of labeled samples:10198   AUC:0.971
Numer of labeled samples:10181   AUC:0.964
Numer of labeled samples:10287   AUC:0.965
Numer of labeled samples:10207   AUC:0.965
Numer of labeled samples:10195   AUC:0.967
Numer of labeled samples:10225   AUC:0.967
Numer of labeled samples:10193   AUC:0.968
Numer of labeled samples:10209   AUC:0.967
Numer of labeled samples:10191   AUC:0.967
Numer of labeled samples:10177   AUC:0.967
Numer of labeled samples:10211   AUC:0.968
Numer of labeled samples:10228   AUC:0.969
Numer of labeled samples:10637   AUC:0.964
Numer of labeled samples:10187   AUC:0.969
Numer of labeled samples:10207   AUC:0.968
Numer of labeled samples:10226   AUC:0.967
Numer of labeled samples:10187   AUC:0.965
Numer of labeled samples:10221   AUC:0.964
Numer of labeled samples:10202   AUC:0.969
Numer of labeled samples:10226   AUC:0.966
Numer of labeled samples:10211   AUC:0.966
Numer of labeled samples:10216   AUC:0.966
Numer of labeled samples:10188   AUC:0.967
Numer of labeled samples:10233   AUC:0.964
Numer of labeled samples:10216   AUC:0.966
Numer of labeled samples:10187   AUC:0.964
Numer of labeled samples:10209   AUC:0.964
Numer of labeled samples:10223   AUC:0.970
Numer of labeled samples:10223   AUC:0.963
Numer of labeled samples:10232   AUC:0.966
Numer of labeled samples:10233   AUC:0.968
Numer of labeled samples:10239   AUC:0.966
Numer of labeled samples:10236   AUC:0.966
Numer of labeled samples:10246   AUC:0.966
Numer of labeled samples:10205   AUC:0.967
Numer of labeled samples:10212   AUC:0.963
Numer of labeled samples:10211   AUC:0.965
Numer of labeled samples:10244   AUC:0.967
Numer of labeled samples:10217   AUC:0.968
Numer of labeled samples:10216   AUC:0.965
Numer of labeled samples:10214   AUC:0.964
Numer of labeled samples:10258   AUC:0.965
Numer of labeled samples:10225   AUC:0.968
Numer of labeled samples:10253   AUC:0.968
Numer of labeled samples:10224   AUC:0.965
Numer of labeled samples:10226   AUC:0.967
Numer of labeled samples:10207   AUC:0.966
Numer of labeled samples:10246   AUC:0.967
Numer of labeled samples:10217   AUC:0.966
Numer of labeled samples:10228   AUC:0.966
Numer of labeled samples:10231   AUC:0.966
Numer of labeled samples:10243   AUC:0.966
Numer of labeled samples:10226   AUC:0.972
Numer of labeled samples:10250   AUC:0.966
Numer of labeled samples:10248   AUC:0.969
Numer of labeled samples:10237   AUC:0.967
Numer of labeled samples:10256   AUC:0.969
Numer of labeled samples:10248   AUC:0.968
Numer of labeled samples:10217   AUC:0.962
Numer of labeled samples:10248   AUC:0.962
Numer of labeled samples:10220   AUC:0.966
Numer of labeled samples:10249   AUC:0.970
Numer of labeled samples:10246   AUC:0.964
Numer of labeled samples:10276   AUC:0.965
Numer of labeled samples:10243   AUC:0.969
Numer of labeled samples:10250   AUC:0.962
Numer of labeled samples:10246   AUC:0.965
Numer of labeled samples:10233   AUC:0.965
Numer of labeled samples:10193   AUC:0.966
Numer of labeled samples:10241   AUC:0.964
Numer of labeled samples:10255   AUC:0.964
Numer of labeled samples:10250   AUC:0.965
Numer of labeled samples:10501   AUC:0.964
Numer of labeled samples:10390   AUC:0.965
Numer of labeled samples:10240   AUC:0.965
Numer of labeled samples:10245   AUC:0.964
Numer of labeled samples:10233   AUC:0.969
Numer of labeled samples:10235   AUC:0.965
Numer of labeled samples:10243   AUC:0.966
Numer of labeled samples:10248   AUC:0.963
Numer of labeled samples:10246   AUC:0.968
Numer of labeled samples:10253   AUC:0.965
Numer of labeled samples:10236   AUC:0.968
